,GAME_ID,MATCHUP
370,0022000201,NOP @ SAC
371,0022000201,SAC vs. NOP
372,0022000200,UTA @ DEN
373,0022000198,DAL vs. CHI
374,0022000198,CHI @ DAL
375,0022000202,IND @ LAC
376,0022000202,LAC vs. IND
377,0022000196,BOS vs. NYK
378,0022000206,MIA vs. DET
379,0022000210,DAL @ TOR
380,0022000203,ORL @ NYK
381,0022000205,ATL vs. MIN
382,0022000206,DET @ MIA
383,0022000209,MIL @ BKN
384,0022000203,NYK vs. ORL
385,0022000205,MIN @ ATL
386,0022000208,PHX @ MEM
387,0022000208,MEM vs. PHX
388,0022000211,HOU @ CHI
389,0022000211,CHI vs. HOU
390,0022000207,POR vs. SAS
391,0022000210,TOR vs. DAL
392,0022000212,LAL vs. GSW
393,0022000212,GSW @ LAL
394,0022000207,SAS @ POR
395,0022000209,BKN vs. MIL
396,0022000213,DEN vs. OKC
397,0022000213,OKC @ DEN
398,0022000214,UTA vs. NOP
399,0022000214,NOP @ UTA
400,0022000219,DET @ ATL
401,0022000221,ORL @ MIN
402,0022000216,BKN @ CLE
403,0022000216,CLE vs. BKN
404,0022000217,DAL @ IND
405,0022000217,IND vs. DAL
406,0022000222,HOU vs. PHX
407,0022000219,ATL vs. DET
408,0022000218,PHI vs. BOS
409,0022000218,BOS @ PHI
410,0022000220,MIA @ TOR
411,0022000222,PHX @ HOU
412,0022000223,GSW vs. SAS
413,0022000223,SAS @ GSW
414,0022000224,LAC vs. SAC
415,0022000224,SAC @ LAC
416,0022000220,TOR vs. MIA
417,0022000221,MIN vs. ORL
418,0022000228,GSW vs. NYK
419,0022000228,NYK @ GSW
420,0022000226,LAL @ MIL
421,0022000227,UTA vs. NOP
422,0022000227,NOP @ UTA
423,0022000226,MIL vs. LAL
424,0022000233,BOS @ PHI
425,0022000233,PHI vs. BOS
426,0022000238,DEN @ PHX
427,0022000238,PHX vs. DEN
428,0022000237,DAL @ SAS
429,0022000237,SAS vs. DAL
430,0022000241,NYK @ SAC
431,0022000234,MIA @ TOR
432,0022000239,OKC @ LAC
433,0022000234,TOR vs. MIA
434,0022000231,IND vs. ORL
435,0022000231,ORL @ IND
436,0022000239,LAC vs. OKC
437,0022000232,CLE vs. BKN
438,0022000232,BKN @ CLE
439,0022000241,SAC vs. NYK
440,0022000230,DET vs. HOU
441,0022000230,HOU @ DET
442,0022000229,CHI @ CHA
443,0022000229,CHA vs. CHI
444,0022000236,MIN vs. ATL
445,0022000236,ATL @ MIN
446,0022000244,MIA @ BKN
447,0022000245,LAL @ CHI
448,0022000243,DET vs. PHI
449,0022000243,PHI @ DET
450,0022000245,CHI vs. LAL
451,0022000248,PHX vs. DEN
452,0022000248,DEN @ PHX
453,0022000242,UTA vs. GSW
454,0022000242,GSW @ UTA
455,0022000244,BKN vs. MIA
456,0022000246,NOP @ MIN
457,0022000247,DAL vs. HOU
458,0022000246,MIN vs. NOP
459,0022000247,HOU @ DAL
460,0022000251,OKC @ LAC
461,0022000252,ORL vs. CHA
462,0022000250,BOS vs. CLE
463,0022000250,CLE @ BOS
464,0022000256,NYK @ POR
465,0022000256,POR vs. NYK
466,0022000253,WAS @ SAS
467,0022000253,SAS vs. WAS
468,0022000252,CHA @ ORL
469,0022000251,LAC vs. OKC
470,0022000249,IND vs. TOR
471,0022000249,TOR @ IND
472,0022000254,MIL vs. ATL
473,0022000254,ATL @ MIL
474,0022000258,IND vs. TOR
475,0022000266,MIN @ GSW
476,0022000266,GSW vs. MIN
477,0022000265,DEN @ DAL
478,0022000258,TOR @ IND
479,0022000260,MIA @ BKN
480,0022000260,BKN vs. MIA
481,0022000265,DAL vs. DEN
482,0022000261,LAL @ CLE
483,0022000262,CHI vs. BOS
484,0022000267,OKC @ POR
485,0022000262,BOS @ CHI
486,0022000267,POR vs. OKC
487,0022000259,CHA @ ORL
488,0022000259,ORL vs. CHA
489,0022000261,CLE vs. LAL
490,0022000257,DET vs. PHI
491,0022000257,PHI @ DET
492,0022000270,UTA vs. NYK
493,0022000270,NYK @ UTA
494,0022000269,WAS @ HOU
495,0022000269,HOU vs. WAS
496,0022000268,LAC @ ATL
497,0022000268,ATL vs. LAC
498,0022000281,PHX vs. OKC
499,0022000280,BOS @ SAS
500,0022000280,SAS vs. BOS
501,0022000276,PHI vs. LAL
502,0022000276,LAL @ PHI
503,0022000282,UTA vs. DAL
504,0022000282,DAL @ UTA
505,0022000277,MIL @ TOR
506,0022000271,IND @ CHA
507,0022000277,TOR vs. MIL
508,0022000271,CHA vs. IND
509,0022000272,DET @ CLE
510,0022000272,CLE vs. DET
511,0022000273,ORL vs. SAC
512,0022000273,SAC @ ORL
513,0022000279,WAS @ NOP
514,0022000279,NOP vs. WAS
